Feature ID,Ranking (1 = most important),Feature
11,6,LEFT_EYE_OUTER_POS_y__kurtosis
15,6,LEFT_EYE_OUTER_POS_y__autocorrelation__lag_1
30,6,LEFT_EYE_OUTER_DIST_y__mean
46,6,RIGHT_EYE_OUTER_POS_y__abs_energy
74,6,LEFT_SHOULDER_POS_x__kurtosis
103,6,LEFT_SHOULDER_DIST_y__standard_deviation
126,6,RIGHT_SHOULDER_POS_y__cid_ce__normalize_True
146,6,LEFT_ELBOW_POS_x__kurtosis
166,6,LEFT_ELBOW_DIST_x__standard_deviation
182,6,RIGHT_ELBOW_POS_x__kurtosis
245,6,LEFT_WRIST_DIST_y__kurtosis
246,6,LEFT_WRIST_DIST_y__mean
267,6,RIGHT_WRIST_POS_y__autocorrelation__lag_1
270,6,RIGHT_WRIST_POS_y__cid_ce__normalize_True
288,6,RIGHT_WRIST_DIST_y__cid_ce__normalize_True
343,6,RIGHT_HIP_DIST_x__abs_energy
347,6,RIGHT_HIP_DIST_x__maximum
398,6,RIGHT_KNEE_POS_x__kurtosis
402,6,RIGHT_KNEE_POS_x__autocorrelation__lag_1
419,6,RIGHT_KNEE_DIST_x__maximum
439,6,LEFT_ANKLE_POS_x__approximate_entropy__m_20__r_0.05
441,6,LEFT_ANKLE_POS_x__cid_ce__normalize_True
458,6,LEFT_ANKLE_DIST_x__c3__lag_1
467,6,LEFT_ANKLE_DIST_y__c3__lag_1
488,6,RIGHT_ANKLE_DIST_x__kurtosis
14,7,LEFT_EYE_OUTER_POS_y__maximum
21,7,LEFT_EYE_OUTER_DIST_x__mean
67,7,RIGHT_EYE_OUTER_DIST_y__standard_deviation
71,7,RIGHT_EYE_OUTER_DIST_y__c3__lag_1
95,7,LEFT_SHOULDER_DIST_x__maximum
101,7,LEFT_SHOULDER_DIST_y__kurtosis
132,7,RIGHT_SHOULDER_DIST_x__autocorrelation__lag_1
255,7,RIGHT_WRIST_POS_x__mean
275,7,RIGHT_WRIST_DIST_x__maximum
280,7,RIGHT_WRIST_DIST_y__abs_energy
299,7,LEFT_HIP_POS_y__kurtosis
312,7,LEFT_HIP_DIST_x__autocorrelation__lag_1
316,7,LEFT_HIP_DIST_y__abs_energy
323,7,LEFT_HIP_DIST_y__c3__lag_1
330,7,RIGHT_HIP_POS_x__autocorrelation__lag_1
350,7,RIGHT_HIP_DIST_x__c3__lag_1
388,7,LEFT_KNEE_DIST_y__abs_energy
401,7,RIGHT_KNEE_POS_x__maximum
423,7,RIGHT_KNEE_DIST_x__cid_ce__normalize_True
428,7,RIGHT_KNEE_DIST_y__maximum
432,7,RIGHT_KNEE_DIST_y__cid_ce__normalize_True
434,7,LEFT_ANKLE_POS_x__kurtosis
463,7,LEFT_ANKLE_DIST_y__standard_deviation
473,7,RIGHT_ANKLE_POS_x__maximum
496,7,RIGHT_ANKLE_DIST_y__abs_energy
6,8,LEFT_EYE_OUTER_POS_x__autocorrelation__lag_1
51,8,RIGHT_EYE_OUTER_POS_y__autocorrelation__lag_1
66,8,RIGHT_EYE_OUTER_DIST_y__mean
72,8,RIGHT_EYE_OUTER_DIST_y__cid_ce__normalize_True
89,8,LEFT_SHOULDER_POS_y__c3__lag_1
92,8,LEFT_SHOULDER_DIST_x__kurtosis
121,8,RIGHT_SHOULDER_POS_y__standard_deviation
128,8,RIGHT_SHOULDER_DIST_x__kurtosis
130,8,RIGHT_SHOULDER_DIST_x__standard_deviation
158,8,LEFT_ELBOW_POS_y__maximum
175,8,LEFT_ELBOW_DIST_y__standard_deviation
176,8,LEFT_ELBOW_DIST_y__maximum
210,8,RIGHT_ELBOW_DIST_y__mean
225,8,LEFT_WRIST_POS_x__cid_ce__normalize_True
252,8,LEFT_WRIST_DIST_y__cid_ce__normalize_True
282,8,RIGHT_WRIST_DIST_y__mean
294,8,LEFT_HIP_POS_x__autocorrelation__lag_1
309,8,LEFT_HIP_DIST_x__mean
359,8,RIGHT_HIP_DIST_y__c3__lag_1
374,8,LEFT_KNEE_POS_y__maximum
389,8,LEFT_KNEE_DIST_y__kurtosis
405,8,RIGHT_KNEE_POS_x__cid_ce__normalize_True
416,8,RIGHT_KNEE_DIST_x__kurtosis
418,8,RIGHT_KNEE_DIST_x__standard_deviation
477,8,RIGHT_ANKLE_POS_x__cid_ce__normalize_True
4,9,LEFT_EYE_OUTER_POS_x__standard_deviation
64,9,RIGHT_EYE_OUTER_DIST_y__abs_energy
102,9,LEFT_SHOULDER_DIST_y__mean
112,9,RIGHT_SHOULDER_POS_x__standard_deviation
114,9,RIGHT_SHOULDER_POS_x__autocorrelation__lag_1
137,9,RIGHT_SHOULDER_DIST_y__kurtosis
195,9,RIGHT_ELBOW_POS_y__autocorrelation__lag_1
209,9,RIGHT_ELBOW_DIST_y__kurtosis
216,9,RIGHT_ELBOW_DIST_y__cid_ce__normalize_True
233,9,LEFT_WRIST_POS_y__c3__lag_1
238,9,LEFT_WRIST_DIST_x__standard_deviation
253,9,RIGHT_WRIST_POS_x__abs_energy
307,9,LEFT_HIP_DIST_x__abs_energy
366,9,LEFT_KNEE_POS_x__autocorrelation__lag_1
371,9,LEFT_KNEE_POS_y__kurtosis
372,9,LEFT_KNEE_POS_y__mean
381,9,LEFT_KNEE_DIST_x__mean
383,9,LEFT_KNEE_DIST_x__maximum
392,9,LEFT_KNEE_DIST_y__maximum
408,9,RIGHT_KNEE_POS_y__mean
411,9,RIGHT_KNEE_POS_y__autocorrelation__lag_1
413,9,RIGHT_KNEE_POS_y__c3__lag_1
424,9,RIGHT_KNEE_DIST_y__abs_energy
437,9,LEFT_ANKLE_POS_x__maximum
499,9,RIGHT_ANKLE_DIST_y__standard_deviation
5,10,LEFT_EYE_OUTER_POS_x__maximum
7,10,LEFT_EYE_OUTER_POS_x__approximate_entropy__m_20__r_0.05
13,10,LEFT_EYE_OUTER_POS_y__standard_deviation
41,10,RIGHT_EYE_OUTER_POS_x__maximum
54,10,RIGHT_EYE_OUTER_POS_y__cid_ce__normalize_True
122,10,RIGHT_SHOULDER_POS_y__maximum
131,10,RIGHT_SHOULDER_DIST_x__maximum
172,10,LEFT_ELBOW_DIST_y__abs_energy
174,10,LEFT_ELBOW_DIST_y__mean
205,10,RIGHT_ELBOW_DIST_x__approximate_entropy__m_20__r_0.05
207,10,RIGHT_ELBOW_DIST_x__cid_ce__normalize_True
220,10,LEFT_WRIST_POS_x__standard_deviation
269,10,RIGHT_WRIST_POS_y__c3__lag_1
283,10,RIGHT_WRIST_DIST_y__standard_deviation
284,10,RIGHT_WRIST_DIST_y__maximum
292,10,LEFT_HIP_POS_x__standard_deviation
311,10,LEFT_HIP_DIST_x__maximum
345,10,RIGHT_HIP_DIST_x__mean
373,10,LEFT_KNEE_POS_y__standard_deviation
397,10,RIGHT_KNEE_POS_x__abs_energy
415,10,RIGHT_KNEE_DIST_x__abs_energy
444,10,LEFT_ANKLE_POS_y__mean
449,10,LEFT_ANKLE_POS_y__c3__lag_1
454,10,LEFT_ANKLE_DIST_x__standard_deviation
483,10,RIGHT_ANKLE_POS_y__autocorrelation__lag_1
3,11,LEFT_EYE_OUTER_POS_x__mean
57,11,RIGHT_EYE_OUTER_DIST_x__mean
63,11,RIGHT_EYE_OUTER_DIST_x__cid_ce__normalize_True
139,11,RIGHT_SHOULDER_DIST_y__standard_deviation
163,11,LEFT_ELBOW_DIST_x__abs_energy
188,11,RIGHT_ELBOW_POS_x__c3__lag_1
192,11,RIGHT_ELBOW_POS_y__mean
197,11,RIGHT_ELBOW_POS_y__c3__lag_1
